FILE,AR/FA Name,Original_EN_Name,Ottoman/Turkish_Name,TYPE,GeonamesID,Disambiguating_GEO_entities,Country,District,Category_of_Entity,Latitude,Longitude,Comments
Seyahatname-i-Hudud_Baghdad.txt,ماهیدشت,Māhīdasht,Mahî Deşt,PLACE,753,Found in geonames w/certainty,Iran,Kermānshāh,"city, village,...",34.26923,46.80316,
Seyahatname-i-Hudud_Baghdad.txt,ماهیدشت,Māhīdasht,Mâhîdeşt,PLACE,753,Found in geonames w/certainty,Iran,Kermānshāh,"city, village,...",34.26923,46.80316,
Seyahatname-i-Hudud_Baghdad.txt,أم الروس,Umm ar Rūs,Ümm-ür Reûs,PLACE,1811,Found in geonames w/certainty,Iraq,Al Anbar,"stream, lake, ...",35.65494,41.3662,
Seyahatname-i-Hudud_Baghdad.txt,أم الروس,Umm ar Rūs,Ümm-ür rüûs,PLACE,1811,Found in geonames w/certainty,Iraq,Al Anbar,"stream, lake, ...",35.65494,41.3662,
Seyahatname-i-Hudud_Baghdad.txt,تيلكو,Tīlakūh,Tîlekû nâhiyesi,PLACE,3657,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.5014,47.50907,
Seyahatname-i-Hudud_Baghdad.txt,گلیان,Gelīyān,Geylân,PLACE,4346,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.0035,46.7176,
Seyahatname-i-Hudud_Baghdad.txt,گلیان,Gelīyān,Geylân,PLACE,4346,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.0035,46.7176,
Seyahatname-i-Hudud_Baghdad.txt,گلیان,Gelīyān,Geylân,PLACE,4346,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.0035,46.7176,
Seyahatname-i-Hudud_Baghdad.txt,گلیان,Gelīyān,Geylân,PLACE,4346,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.0035,46.7176,
Seyahatname-i-Hudud_Baghdad.txt,گلیان,Gelīyān,Geylân,PLACE,4346,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.0035,46.7176,
Seyahatname-i-Hudud_Baghdad.txt,گلیان,Gelīyān,Geylân,PLACE,4346,Found in geonames w/certainty,Iran,Kordestān,"city, village,...",35.0035,46.7176,
Seyahatname-i-Hudud_Baghdad.txt,سَرچَم,Sarcham,Serçem nâhiyesi,PLACE,5989,Found in geonames w/certainty,Iran,Ilam Province,"parks,area, ...",33.78333,46.05,
